Time	Potential 1	Potential 2	Potential 3	Potential 4
t	    Pot 1	    Pot 2	    Pot 3	    Pot 4	   
s	    V	        V	        V	        V	       
								
3060	0.548230	0.010989	0.815629	1.222220	
3070	0.561661	0.012210	0.838828	1.242980	
3080	0.575092	0.012210	0.860806	1.262520	
3090	0.589744	0.013431	0.881563	1.284490	
3100	0.603175	0.013431	0.904762	1.305250	
3110	0.617827	0.014652	0.926740	1.324790	
3120	0.632479	0.014652	0.947497	1.346760	
3130	0.647131	0.015873	0.970696	1.367520	
3140	0.660562	0.015873	0.993895	1.389500	
3150	0.676435	0.015873	1.015870	1.411480	
3160	0.692308	0.017094	1.039070	1.433460	
3170	0.706960	0.017094	1.062270	1.456650	
3180	0.722833	0.018315	1.083030	1.477410	
3190	0.737485	0.019536	1.103790	1.500610	
3200	0.753358	0.019536	1.125760	1.523810	
3210	0.769231	0.019536	1.148960	1.544570	
3220	0.786325	0.020757	1.169720	1.567770	
3230	0.802198	0.021978	1.191700	1.592190	
3240	0.818071	0.021978	1.213680	1.614160	
3250	0.835165	0.023199	1.235650	1.636140	
3260	0.851038	0.023199	1.256410	1.659340	
3270	0.868132	0.024420	1.278390	1.682540	
3280	0.885226	0.024420	1.299150	1.704520	
3290	0.901099	0.024420	1.319900	1.728940	
3300	0.918193	0.025641	1.338220	1.753360	
3310	0.935287	0.026862	1.360200	1.775340	
3320	0.953602	0.026862	1.380950	1.798530	
3330	0.970696	0.028083	1.400490	1.821730	
3340	0.987790	0.029304	1.421250	1.843710	
3350	1.004880	0.029304	1.443220	1.865690	
3360	1.021980	0.029304	1.462760	1.888890	
3370	1.040290	0.030525	1.483520	1.913310	
3380	1.057390	0.030525	1.501830	1.934070	
3390	1.075700	0.031746	1.522590	1.958490	
3400	1.092800	0.032967	1.542120	1.981690	
3410	1.111110	0.032967	1.561660	2.003660	
3420	1.128210	0.032967	1.581200	2.025640	
3430	1.146520	0.034188	1.600730	2.048840	
3440	1.163610	0.034188	1.619050	2.069600	
3450	1.181930	0.035409	1.637360	2.091580	
3460	1.256410	0.036630	1.658120	2.114770	
3470	1.217340	0.036630	1.675210	2.136750	
3480	1.234430	0.037851	1.694750	2.158730	
3490	1.252750	0.037851	1.711840	2.179490	
3500	1.269840	0.039072	1.730160	2.201470	
3510	1.286940	0.040293	1.747250	2.222220	
3520	1.305250	0.040293	1.765570	2.244200	
3530	1.322340	0.040293	1.781440	2.264960	
3540	1.339440	0.041514	1.802200	2.285710	
3550	1.357750	0.041514	1.818070	2.306470	
3560	1.374850	0.043956	1.835160	2.327230	
3570	1.391940	0.043956	1.852260	2.347990	
3580	1.409040	0.043956	1.868130	2.368740	
3590	1.496950	0.045177	1.885230	2.388280	
3600	1.518930	0.045177	1.903540	2.410260	
3610	1.536020	0.046398	1.918190	2.429790	
3620	1.553110	0.046398	1.934070	2.450550	
3630	1.571430	0.046398	1.948720	2.470090	
3640	1.587300	0.047619	1.964590	2.488400	
3650	1.604400	0.048840	1.980460	2.506720	
3660	1.619050	0.048840	1.996340	2.526250	
3670	1.634920	0.048840	2.012210	2.547010	
3680	1.650790	0.050061	2.026860	2.566540	
3690	1.664220	0.051282	2.041510	2.582420	
