Temperature	Germanium	Nickel	Copper
T	        R1	        R2	    R3
K	        au	        au	    au
110.134	    0.315839	0.173082	0.266363
109.402	    0.312022	0.173082	0.262721
108.669	    0.308206	0.173082	0.259079
108.059	    0.304389	0.173082	0.255958
107.326	    0.300572	0.153851	0.252316
106.716	    0.295801	0.153851	0.248674
105.983	    0.292938	0.153851	0.246073
105.372	    0.290076	0.153851	0.242952
104.64	    0.286259	0.153851	0.23983
104.029	    0.283397	0.153851	0.236709
103.541	    0.280534	0.153851	0.233588
102.93	    0.277671	0.153851	0.231507
102.442	    0.275763	0.153851	0.228905
101.832	    0.2729  	0.153851	0.225784
101.465	    0.270992	0.13462	    0.223183
100.977	    0.268129	0.13462	    0.221102
100.611	    0.266221	0.13462	    0.218501
100.122	    0.264313	0.153851	0.21642
99.6337	    0.262404	0.13462	    0.214339
99.2674	    0.260496	0.13462	    0.212257
98.9011	    0.258587	0.13462	    0.210176
98.4127	    0.256679	0.115388	0.208095
98.1685	    0.254771	0.13462	    0.206535
97.8022	    0.252862	0.13462	    0.204974
97.558	    0.251908	0.115388	0.202893
97.1917	    0.25	    0.115388	0.201332
96.9475	    0.249045	0.115388	0.200292
96.5812	    0.248091	0.115388	0.198211
96.337	    0.246183	0.115388	0.19717
96.0928	    0.245229	0.115388	0.195089
95.8486	    0.244274	0.115388	0.193529
95.6044	    0.24332	    0.115388	0.193009
95.3602	    0.241412	0.115388	0.191448
95.116	    0.240458	0.115388	0.190928
94.9939	    0.239503	0.115388	0.189367
94.8718	    0.238549	0.115388	0.188326
94.5055	    0.237595	0.115388	0.186766
94.3834	    0.236641	0.115388	0.185725
94.2613	    0.235687	0.096157	0.185205
94.1392	    0.234732	0.115388	0.184164
93.895	    0.233778	0.096157	0.183124
93.6508	    0.232824	0.096157	0.182084
93.5287	    0.232824	0.115388	0.182084
93.4066	    0.23187 	0.096157	0.180523
93.2845	    0.230916	0.096157	0.179482
93.1624	    0.230916	0.096157	0.178962
93.0403	    0.23187 	0.076926	0.178962
93.4066	    0.244274	0.057694	0.182084
95.9707	    0.256679	0.038463	0.186245
94.5055	    0.266221	0.038463	0.189887
95.2381	    0.2729	    0.038463	0.195089
95.9707	    0.27958	    0.057694	0.199772
96.7033	    0.286259	0.057694	0.204454
97.558	    0.291984	0.057694	0.211737
98.4127	    0.298664	0.076926	0.21746
99.5116	    0.305343	0.076926	0.224223
100.488	    0.312022	0.076926	0.232027
101.832	    0.319656	0.076926	0.240351
103.297	    0.32729	    0.096157	0.248154
104.64	    0.334923	0.096157	0.255958
106.105	    0.343511	0.096157	0.264282
107.57	    0.352099	0.115388	0.273126
109.28	    0.360686	0.13462	    0.28197
110.989	    0.370228	0.13462	    0.291334
112.821	    0.37977	    0.13462	    0.300698
114.652	    0.388358	0.13462	    0.309542
116.361	    0.397901	0.153851	0.319427
118.437	    0.408397	0.153851	0.328791
120.391	    0.418893	0.173082	0.337635
122.222	    0.428435	0.173082	0.34752
124.298	    0.438931	0.192314	0.357404
126.252	    0.449428	0.192314	0.366769
128.449	    0.460878	0.211545	0.375613
130.525	    0.471374	0.211545	0.385497
132.479	    0.482824	0.230777	0.394862
134.676	    0.494275	0.230777	0.403706
136.752	    0.505725	0.250008	0.41359
138.95	    0.516221	0.250008	0.423475
141.148	    0.528626	0.250008	0.432838
143.346	    0.54103	    0.269239	0.442723
145.665	    0.552481	0.269239	0.452608
147.741	    0.564885	0.288471	0.461453
150.061	    0.576336	0.307702	0.470298
152.381	    0.58874	    0.307702	0.479659
154.457	    0.601145  	0.307702	0.489544
156.777	    0.614504	0.326933	0.498389
159.219	    0.626908	0.346165	0.507755
161.416	    0.639313	0.346165	0.51712
163.614	    0.652672	0.365396	0.526481
165.934	    0.665076	0.365396	0.535326
168.254	    0.678435	0.384628	0.544691
170.452	    0.691794	0.384628	0.553536
172.894	    0.704198	0.384628	0.562378
175.336	    0.717557	0.403859	0.570183
177.534	    0.730916	0.42309	    0.579548
179.853	    0.745229	0.42309	    0.588389
182.173	    0.758587	0.442322	0.596715
184.371	    0.771946	0.461553	0.60556
186.569	    0.785302	0.461553	0.614921
188.889	    0.798665	0.461553	0.623247
191.331	    0.812974	0.480784	0.632092
193.407	    0.826338	0.480784	0.639893
195.849	    0.840647	0.500016	0.648739
198.169	    0.85401	    0.519247	0.65706
200.366	    0.868319	0.519247	0.665386
202.564	    0.881683	0.519247	0.673711
204.884	    0.895992	0.538479	0.682032
206.96	    0.909347	0.538479	0.689838
209.158	    0.923664	0.55771	    0.69764
211.477	    0.981869	0.576941	0.706485
213.675	    0.951337	0.576941	0.713767
215.873	    0.964692	0.596173	0.722092
217.949	    0.979009	0.596173	0.729374
220.147	    0.992365	0.615404	0.737179
222.222	    1.005728	0.634635	0.744461
224.42	    1.020037	0.634635	0.752267
226.496	    1.033393	0.634635	0.759029
228.571	    1.046756	0.653867	0.767874
230.647	    1.061065	0.653867	0.774636
232.723	    1.074429	0.69233 	0.781917
234.799	    1.087785	0.69233 	0.789203
236.874	    1.101148	0.69233 	0.795965
238.828	    1.169849	0.711561	0.803251
